City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,punta arenas,-53.15,-70.9167,276.21,60,0,1.54,CL,1699417585
27,olonkinbyen,70.9221,-8.7187,274.54,75,100,1.7,SJ,1699417585
28,margate,51.3813,1.3862,282.42,85,100,1.79,GB,1699417586
29,tanjung pandan,-2.75,107.65,305.6,53,91,1.15,ID,1699417587
30,margaret river,-33.95,115.0667,292.82,51,56,3.78,AU,1699417565
31,haiku-pauwela,20.9219,-156.3051,299.28,71,40,3.13,US,1699417588
32,antigonish,45.6169,-61.9986,283.79,95,100,1.79,CA,1699417588
33,georgetown,5.4112,100.3354,305.12,70,20,3.09,MY,1699417392
34,anadyr,64.75,177.4833,265.43,93,75,3.0,RU,1699417589
35,la baneza,42.3003,-5.8977,281.31,84,100,2.68,ES,1699417589
36,iskateley,67.6803,53.1512,273.72,100,100,4.02,RU,1699417590
37,waitangi,-43.9535,-176.5597,284.72,96,100,4.02,NZ,1699417590
38,santa ana,33.7456,-117.8678,291.4,81,0,3.09,US,1699417591
39,amga,60.8953,131.9608,255.11,83,22,0.38,RU,1699417591
40,tiksi,71.6872,128.8694,254.46,88,97,2.9,RU,1699417592
41,richards bay,-28.783,32.0377,292.44,85,100,5.46,ZA,1699417592
42,klyuchi,52.2667,79.1667,274.28,57,18,2.55,RU,1699417592
43,alliance,40.9153,-81.1059,280.93,89,41,3.06,US,1699417515
44,isla mujeres,21.2311,-86.731,295.18,66,100,4.5,MX,1699417593
45,san antonio de pale,-1.4014,5.6325,299.09,79,74,5.27,GQ,1699417594
46,wailua homesteads,22.0669,-159.378,300.39,84,75,5.66,US,1699417594
47,dudinka,69.4058,86.1778,265.72,92,100,12.96,RU,1699417596
48,rongelap,11.1635,166.8941,301.2,79,43,9.59,MH,1699417596
49,bethel,41.3712,-73.414,284.78,65,16,0.45,US,1699417597
50,tubarjal,30.4999,38.216,292.33,32,0,1.58,SA,1699417597
51,marka,1.7159,44.7717,300.32,74,100,1.2,SO,1699417598
52,whitehorse,60.7161,-135.0538,272.58,74,40,4.63,CA,1699417598
53,inhambane,-23.865,35.3833,296.14,100,75,1.54,MZ,1699417599
54,champerico,14.3,-91.9167,300.18,84,73,1.92,GT,1699417599
55,west island,-12.1568,96.8225,301.14,78,40,6.17,CC,1699417600
56,port blair,11.6667,92.75,303.17,79,40,3.6,IN,1699417600
57,sinabang,2.4803,96.3801,299.57,85,100,3.13,ID,1699417601
58,talnakh,69.4865,88.3972,265.49,92,100,9.06,RU,1699417601
59,gizo,-8.103,156.8419,301.0,81,98,4.78,SB,1699417602
60,aasiaat,68.7098,-52.8699,265.08,83,100,1.96,GL,1699417602
61,bucyrus,40.8084,-82.9755,279.69,90,30,3.89,US,1699417602
62,aripuana,-9.1667,-60.6333,295.38,98,83,1.17,BR,1699417603
63,monterey,36.2505,-121.2516,282.54,75,0,3.41,US,1699417604
64,saipan,15.1355,145.701,304.54,70,20,6.17,MP,1699417604
65,longyearbyen,78.2186,15.6401,267.06,86,75,0.0,SJ,1699417605
66,boguchany,58.3814,97.4531,262.51,99,54,1.34,RU,1699417605
67,hermanus,-34.4187,19.2345,286.43,71,4,1.42,ZA,1699417606
68,keflavik,64.0049,-22.5624,280.1,56,0,6.69,IS,1699417606
69,tindouf,27.6711,-8.1474,292.4,30,0,4.12,DZ,1699417607
70,stanley,54.868,-1.6985,279.1,93,100,1.03,GB,1699417607
71,isafjordur,66.0755,-23.124,275.82,82,67,6.83,IS,1699417607
72,novyy turtkul',41.55,61.0167,285.1,52,99,6.74,UZ,1699417608
73,albany,42.6001,-73.9662,280.57,74,100,0.45,US,1699417474
74,pontes e lacerda,-15.2261,-59.3353,300.59,61,100,1.07,BR,1699417521
75,ishigaki,24.3448,124.1572,300.22,61,20,5.14,JP,1699417609
76,port mathurin,-19.6833,63.4167,297.94,73,57,5.85,MU,1699417609
77,tobol'sk,58.2,68.2667,271.82,90,98,3.13,RU,1699417610
78,murmashi,68.8154,32.8115,268.38,100,40,1.0,RU,1699417610
79,hawaiian paradise park,19.5933,-154.9731,297.06,87,0,2.57,US,1699417610
80,chandbali,20.7833,86.7667,300.05,47,2,2.6,IN,1699417611
81,susuman,62.7833,148.1667,250.39,97,99,0.55,RU,1699417611
82,luderitz,-26.6481,15.1594,288.73,73,0,7.63,NA,1699417612
83,remire-montjoly,4.9167,-52.2667,299.17,94,40,0.0,GF,1699417612
84,luwero,0.8492,32.4731,291.6,99,97,0.63,UG,1699417613
85,bilibino,68.0546,166.4372,255.39,99,100,0.42,RU,1699417613
86,leteri,24.05,77.4,299.35,34,2,2.72,IN,1699417613
87,shakawe,-18.3667,21.85,296.77,60,31,0.87,BW,1699417614
88,bengkulu,-3.8004,102.2655,300.31,80,100,2.28,ID,1699417609
89,blackmans bay,-43.0167,147.3167,294.22,85,44,1.66,AU,1699417615
90,yerofey pavlovich,53.9667,121.9667,264.74,51,100,4.97,RU,1699417615
91,kavalerovo,44.2661,135.0572,276.79,66,24,1.79,RU,1699417615
92,sechura,-5.5569,-80.8222,293.41,77,3,6.06,PE,1699417616
93,petropavlovsk-kamchatsky,53.0452,158.6483,270.48,73,100,9.39,RU,1699417616
94,puerto natales,-51.7236,-72.4875,274.51,90,11,1.52,CL,1699417617
95,bikenibeu village,1.3673,173.1241,303.13,84,75,0.0,KI,1699417617
96,nantucket,41.2835,-70.0995,285.45,71,36,11.02,US,1699417617
97,hampton bays,40.869,-72.5176,286.64,68,49,4.92,US,1699417618
98,nawada,24.8833,85.5333,298.35,45,0,2.57,IN,1699417618
99,kegen,43.0197,79.2203,279.18,35,100,1.3,KZ,1699417619
100,sarnia,42.9787,-82.4041,276.42,86,100,4.12,CA,1699417619
101,porto novo,6.4965,2.6036,298.76,88,96,1.32,BJ,1699417620
102,mahriz,31.5917,54.4318,283.43,35,0,1.19,IR,1699417620
103,yellowknife,62.456,-114.3525,267.27,100,100,3.09,CA,1699417621
104,alice springs,-23.7,133.8833,308.9,11,100,7.72,AU,1699417621
105,invercargill,-46.4,168.35,287.05,66,96,5.36,NZ,1699417368
